cell_id,provider,model,profile,paired_seed_group,source_run,position_id,canonical_position,starting_fen,defender_seed,terminal_reason,success,attacking_moves,total_plies,illegal_attempts,rejected_attempts,input_tokens,output_tokens,api_attempts,provider_latency_ms
deepseek_v4pro_max65k,deepseek,deepseek-v4-pro,"thinking enabled, effort=max, 65K cap",shared-core5,deepseek-v4-pro-max-65k-kqk-core5-20260726,kqk-003-qualification-r1,kqk-003,8/1k6/8/1K6/6Q1/8/8/8 w - - 0 1,1901395081,major_piece_lost,False,3,6,0,0,2535,52872,3,756732.0422249904
openai_gpt56sol,openai,gpt-5.6-sol,reasoning effort=max,shared-core5,gpt56sol-kqk-qualification-5-20260725,kqk-003-qualification-r1,kqk-003,8/1k6/8/1K6/6Q1/8/8/8 w - - 0 1,1901395081,checkmate,True,3,5,0,0,2213,2201,3,39926.08099000063
claude_opus5,anthropic,claude-opus-5,"adaptive thinking, effort=max",claude-separate-seeds,opus5-kqk-no-legal-10-20260725,kqk-006-r1,kqk-006,8/3Q2K1/8/4k3/8/8/8/8 w - - 0 1,866509206,checkmate,True,5,9,0,0,8189,11881,5,160774.0219810221
deepseek_v4pro_high,deepseek,deepseek-v4-pro,"thinking enabled, effort=high",shared-core5,deepseek-v4-pro-kqk-remaining-9-20260726,kqk-006-qualification-r1,kqk-006,8/3Q2K1/8/4k3/8/8/8/8 w - - 0 1,1777396876,major_piece_lost,False,1,2,0,0,341,20242,1,345017.2952620196
deepseek_v4pro_max65k,deepseek,deepseek-v4-pro,"thinking enabled, effort=max, 65K cap",shared-core5,deepseek-v4-pro-max-65k-kqk-core5-20260726,kqk-006-qualification-r1,kqk-006,8/3Q2K1/8/4k3/8/8/8/8 w - - 0 1,1777396876,major_piece_lost,False,4,8,1,1,5798,125302,5,1621596.6306059854
openai_gpt56sol,openai,gpt-5.6-sol,reasoning effort=max,shared-core5,gpt56sol-kqk-qualification-5-20260725,kqk-006-qualification-r1,kqk-006,8/3Q2K1/8/4k3/8/8/8/8 w - - 0 1,1777396876,checkmate,True,9,17,0,0,15865,26782,9,513476.3773260056
claude_opus5,anthropic,claude-opus-5,"adaptive thinking, effort=max",claude-separate-seeds,opus5-kqk-no-legal-10-20260725,kqk-010-r1,kqk-010,8/5Q2/3k4/1K6/8/8/8/8 w - - 0 1,524932477,checkmate,True,4,7,1,1,7865,25761,5,337726.9288779935
deepseek_v4pro_high,deepseek,deepseek-v4-pro,"thinking enabled, effort=high",shared-core5,deepseek-v4-pro-kqk-remaining-9-20260726,kqk-010-qualification-r1,kqk-010,8/5Q2/3k4/1K6/8/8/8/8 w - - 0 1,1645517172,major_piece_lost,False,1,2,0,0,341,10407,1,181341.67818099377
deepseek_v4pro_max65k,deepseek,deepseek-v4-pro,"thinking enabled, effort=max, 65K cap",shared-core5,deepseek-v4-pro-max-65k-kqk-core5-20260726,kqk-010-qualification-r1,kqk-010,8/5Q2/3k4/1K6/8/8/8/8 w - - 0 1,1645517172,stalemate,False,7,13,0,1,12751,237984,8,3401181.6086390465
openai_gpt56sol,openai,gpt-5.6-sol,reasoning effort=max,shared-core5,gpt56sol-kqk-qualification-5-20260725,kqk-010-qualification-r1,kqk-010,8/5Q2/3k4/1K6/8/8/8/8 w - - 0 1,1645517172,checkmate,True,11,21,0,0,22982,26197,11,432421.8835559732
